walletid,Wallet Create Date,Wallet Create Stage,Movement 202101,Movement 202102,Movement 202103,Movement 202104,Movement 202101 - 202104
,,,-603 725 207.61,-705 094 770.34,-593 123 476.05,-129 691 113.09,-2 031 634 567.08
GL2jUAdftrN8MMRF4SxQhAtZQUdBS2tJaB,20200928,Pre Launch,0.00,0.00,-2 699 770.46,0.00,-2 699 770.46
GYtLEB6euwEvTJbPTocqSCBRXnbFFGCJb8,20201001,Pre Launch,0.00,0.00,-2 699 470.36,0.00,-2 699 470.36
GaDQ3G7pCH7SaSCVCQGqsepUvWGgCmtfiX,20200930,Pre Launch,0.00,0.00,-2 699 215.87,0.00,-2 699 215.87
GJcY49oRXhswsx14RJfmk9CcGzJ2zukyB5,20200929,Pre Launch,0.00,0.00,-2 698 631.08,0.00,-2 698 631.08
GYMJrm9JbQ9iDnSUnKgmSDyJrkaXqcHMAn,20200929,Pre Launch,0.00,0.00,-2 698 364.27,0.00,-2 698 364.27
GPAfWXBGNpyQjvi8Fg1b9nrEKoXUTB4ctA,20200930,Pre Launch,0.00,0.00,-2 698 346.78,0.00,-2 698 346.78
GWjvBwgYfjR8i42cgqpaU78hN2SD3fBb6k,20201001,Pre Launch,0.00,0.00,-2 698 158.11,0.00,-2 698 158.11
GTA8gVdzrhy2rpi2EUyC2yL9oZLhH7rkpN,20201001,Pre Launch,0.00,0.00,-2 697 311.70,0.00,-2 697 311.70
GMuWSijdtLRijVmPYaQwDYxKZdDL5eJHyR,20200929,Pre Launch,0.00,0.00,-2 696 777.34,0.00,-2 696 777.34
GUMMX7nxJKZ1rbf6PfZE2RtkzWWj66ozd2,20201001,Pre Launch,0.00,0.00,-2 695 941.84,0.00,-2 695 941.84
GLdHwW5NFyxCxX5To6hnYq1UWmrHGpurrC,20200928,Pre Launch,0.00,0.00,-2 695 115.19,0.00,-2 695 115.19
GMNyn6dxJwYfPeksfXXLhCcay2YtgEHqGQ,20200928,Pre Launch,0.00,0.00,-2 695 102.26,0.00,-2 695 102.26
GfhPytuzaBAhL2fbEDmXui3xU8PxNVBQrM,20200929,Pre Launch,0.00,0.00,-2 695 091.63,0.00,-2 695 091.63
GWRroQEgy7BwFYoknahG7QNJtsj5NMg2Bz,20201001,Pre Launch,0.00,0.00,-2 694 018.99,0.00,-2 694 018.99
GMGAJa77gLnheQJuHY693VBKMPrQbnJfM7,20201001,Pre Launch,0.00,0.00,-2 693 652.59,0.00,-2 693 652.59
GYnEoX5Xh5yQyZQgnzBXgHxzPPbpRYydWv,20200929,Pre Launch,0.00,0.00,-2 692 295.94,0.00,-2 692 295.94
GXbHX1dCnWzmtuErxUj8j12LtDReTEx3N2,20200929,Pre Launch,0.00,0.00,-2 692 063.47,0.00,-2 692 063.47
Gc9bwZH6ZjMTitEqHk1CGJCKb8nZpTuu2G,20200930,Pre Launch,0.00,0.00,-2 691 034.25,0.00,-2 691 034.25
Gex4Bq6fQvPgdqiL37wn419rztz3veLot2,20201001,Pre Launch,0.00,0.00,-2 689 881.01,0.00,-2 689 881.01
GcefeFDqeeFoZkTby2aq26jh3ugHG1BhCp,20200930,Pre Launch,0.00,0.00,-2 689 022.39,0.00,-2 689 022.39
GRJkn1PXJh693RNUHPWNg2pdeNZ9aSagvW,20201001,Pre Launch,0.00,0.00,-2 688 498.50,0.00,-2 688 498.50
GQp1LARQ95EseFAASMqSeWh9aVxoBCvXqk,20200928,Pre Launch,0.00,0.00,-2 688 493.46,0.00,-2 688 493.46
GKLVBEffFdX42dSChpBXwmj8P3y3VXmo9K,20200928,Pre Launch,0.00,0.00,-2 687 795.10,0.00,-2 687 795.10
GYXQc4qtJM5uQtwma9decTLc5RHd38pm9R,20200929,Pre Launch,0.00,0.00,-2 687 458.17,0.00,-2 687 458.17
GTb3HKAeHtBCQjTD4czmmcok1tSFUFcrug,20200930,Pre Launch,0.00,0.00,-2 686 903.25,0.00,-2 686 903.25
GLaNsX7sE4Dordd4zbHv2e6eZyy3fgf4qQ,20201001,Pre Launch,0.00,0.00,-2 686 880.07,0.00,-2 686 880.07
GZ56HQtbaLWr2DQ4MDiup3iamDyqpwZfdR,20200930,Pre Launch,0.00,0.00,-2 684 927.61,0.00,-2 684 927.61
GQJ8H1Cdm5XzzrsNeRCk8PdFJnuCy13zPo,20201001,Pre Launch,0.00,0.00,-2 684 260.41,0.00,-2 684 260.41
GKyUyp3kJXcdVSoZZySb5WQ4N8xpLjGHxG,20201001,Pre Launch,0.00,0.00,-2 684 119.16,0.00,-2 684 119.16
Gb1d4JrAqGAaGH5WpAn1ytqeSEX7Bw9q4S,20201001,Pre Launch,0.00,0.00,-2 684 011.46,0.00,-2 684 011.46
GSNCVTsd2NSJRw99X62rLVvnv5esWJdKvV,20200929,Pre Launch,0.00,0.00,-2 683 616.48,0.00,-2 683 616.48
GaXHccNAyz8g6RTnc79UivsGuTaGd55Cj6,20200930,Pre Launch,0.00,0.00,-2 683 258.56,0.00,-2 683 258.56
